date,pnl,total_profit,n,equity_12M
2020-06-05,87392.97313256565,5518496.544978883,2,17518496.544978883
2020-06-08,360107.62966972124,5878604.174648604,2,17878604.174648605
2020-06-09,-44900.73597625115,5833703.4386723535,2,17833703.438672353
2020-06-10,318539.63426177175,6152243.072934126,2,18152243.072934125
2020-06-11,-173100.00000000035,5979143.072934126,0,17979143.072934125
2020-06-12,0.0,5979143.072934126,0,17979143.072934125
2020-06-15,0.0,5979143.072934126,0,17979143.072934125
2020-06-16,0.0,5979143.072934126,0,17979143.072934125
2020-06-17,0.0,5979143.072934126,0,17979143.072934125
2020-06-18,-17100.0,5962043.072934126,1,17962043.072934125
2020-06-19,0.0,5962043.072934126,1,17962043.072934125
2020-06-22,-20093.935062282864,5941949.137871843,1,17941949.137871843
2020-06-23,80510.55473735959,6022459.692609202,1,18022459.692609202
2020-06-24,0.0,6022459.692609202,1,18022459.692609202
2020-06-29,-173100.0000000003,5849359.692609202,0,17849359.692609202
2020-06-30,0.0,5849359.692609202,0,17849359.692609202
2020-07-01,-17100.0,5832259.692609202,1,17832259.692609202
2020-07-02,421101.9929660018,6253361.685575204,1,18253361.685575202
2020-07-03,-85055.30051344004,6168306.385061764,2,18168306.385061763
2020-07-06,664432.3459662624,6832738.731028027,3,18832738.731028028
2020-07-07,263300.40746172896,7096039.138489756,3,19096039.138489757
2020-07-08,442216.49506831623,7538255.633558072,3,19538255.633558072
2020-07-09,85089.90301503206,7623345.536573105,3,19623345.536573105
2020-07-10,53413.87218721426,7676759.4087603185,2,19676759.408760317
2020-07-13,-26559.412553014183,7650199.996207304,2,19650199.996207304
2020-07-14,-33789.216029354924,7616410.780177949,1,19616410.78017795
2020-07-15,-43350.0000000001,7573060.780177949,2,19573060.78017795
2020-07-16,-50986.02477380364,7522074.755404145,1,19522074.755404145
2020-07-17,-190199.99999999942,7331874.755404146,1,19331874.755404145
2020-07-20,15785.431400283123,7347660.18680443,2,19347660.18680443
2020-07-21,-117593.40327680342,7230066.783527627,1,19230066.783527628
2020-07-22,0.0,7230066.783527627,1,19230066.783527628
2020-07-23,93614.56226524233,7323681.345792869,1,19323681.345792867
2020-07-24,-92889.9082568818,7230791.437535987,1,19230791.437535986
2020-07-27,0.0,7230791.437535987,1,19230791.437535986
2020-07-28,-97521.58335740908,7133269.854178579,1,19133269.854178578
2020-07-29,0.0,7133269.854178579,1,19133269.854178578
2020-07-30,-190200.00000000044,6943069.854178579,1,18943069.854178578
2020-07-31,-117689.2716182265,6825380.582560352,1,18825380.582560353
2020-08-03,434403.8048073431,7259784.387367696,2,19259784.387367696
2020-08-04,49932.710421004595,7309717.0977887,5,19309717.0977887
2020-08-05,149075.1731554472,7458792.270944147,5,19458792.27094415
2020-08-06,-66662.72712176459,7392129.543822383,4,19392129.54382238
2020-08-07,-89474.22451994148,7302655.319302442,3,19302655.31930244
2020-08-10,-93122.93827508538,7209532.381027356,5,19209532.381027356
2020-08-11,-169406.59078753536,7040125.79023982,1,19040125.79023982
2020-08-12,260919.11381407373,7301044.904053894,2,19301044.904053893
