,ticker,type,entry_date,exit_date,entry_p,exit_p,pnl_net
235,3264,long,2021-07-23,2021-07-27,44.79,45.2585,24139.69636079472
236,6290,long,2021-07-23,2021-07-27,62.39,64.27865,103386.71261420088
237,6290,long,2021-07-27,2021-07-30,62.39,60.910799999999995,-112535.71085109831
238,8436,long,2021-07-26,2021-08-04,256.7,252.2124,-87627.54187767801
239,5009,long,2021-07-30,2021-08-04,21.93,22.7933,139764.66028271752
240,3264,long,2021-07-27,2021-08-09,45.02,47.68064999999999,218697.15681919054
241,3131,long,2021-08-04,2021-08-09,384.0,371.8338,-144431.25000000006
242,2303,long,2021-08-04,2021-08-10,47.12,47.64205,26616.63837011886
243,6147,long,2021-08-09,2021-08-13,58.1,56.0665,-157700.00000000023
244,3491,long,2021-08-09,2021-08-13,65.86,63.554899999999996,-157700.00000000017
245,5009,long,2021-08-13,2021-08-16,22.21,21.43265,-157700.00000000035
246,2002,long,2021-08-13,2021-08-17,31.57,30.465049999999998,-157700.0000000003
247,2883,long,2021-08-16,2021-08-17,11.52,11.48,-31588.888888888592
248,6146,long,2021-08-10,2021-08-19,182.24,179.06,-87498.06848112393
249,2892,long,2021-08-18,2021-08-19,17.48,17.36,-45159.95423340984
250,2912,long,2021-08-18,2021-08-20,244.96,242.41,-59339.4513389943
251,2892,long,2021-08-19,2021-08-20,17.36,17.36,-17700.0
252,2884,long,2021-08-19,2021-08-20,19.54,19.47,-32029.58034800415
253,3661,long,2021-08-24,2021-08-26,625.11,635.5200500000001,48912.59618307222
254,5871,long,2021-08-23,2021-09-03,188.3,198.87685,206980.8284652146
255,2383,long,2021-08-23,2021-09-07,200.35,204.03959999999998,55963.08959321157
256,3324,long,2021-09-03,2021-09-07,172.21,166.18265,-157700.0000000003
257,6643,long,2021-09-07,2021-09-08,287.8,277.727,-157700.0000000005
258,5347,long,2021-09-07,2021-09-08,141.11,136.17115,-157700.00000000003
259,3661,long,2021-08-26,2021-09-09,623.2,720.3725,606000.2567394087
260,5347,long,2021-09-08,2021-09-13,130.0,137.75375,220876.92307692298
261,6643,long,2021-09-13,2021-09-22,291.44,288.26480000000004,-61279.46747186332
262,3529,long,2021-09-08,2021-09-29,1545.26,1904.6205,912526.6285285325
263,3661,long,2021-09-09,2021-09-29,718.24,839.17365,655799.9443083089
264,2059,long,2021-09-22,2021-09-29,371.54,366.64209999999997,-70430.79614577218
265,8358,long,2021-09-29,2021-10-01,61.99,61.036249999999995,-79242.18422326224
266,3491,long,2021-09-29,2021-10-01,71.19,69.63,-105352.76021913203
267,3661,long,2021-10-01,2021-10-04,858.04,828.0085999999999,-157700.00000000038
268,3653,long,2021-10-01,2021-10-06,276.64,279.7921,41815.38461538502
269,5274,long,2021-10-06,2021-10-12,2032.75,2082.8946,80973.42270323468
270,2360,long,2021-10-07,2021-10-14,168.01,162.12965,-157699.99999999985
271,1301,long,2021-09-29,2021-10-15,97.02,97.87,17344.320758606824
272,3653,long,2021-10-12,2021-10-26,291.66,324.07595,426871.76164026535
273,3665,long,2021-10-18,2021-10-28,229.9,230.8666,-882.2531535450253
274,5425,long,2021-10-26,2021-11-02,67.08,74.39185,418307.7519379849
275,3037,long,2021-10-28,2021-11-03,161.51,171.14274999999998,220867.27137638506
276,5425,long,2021-11-02,2021-11-08,73.64,73.39789999999999,-30850.461705595204
277,2603,long,2021-11-08,2021-11-11,108.28,104.4902,-157700.0
278,5371,long,2021-11-11,2021-11-16,61.71,71.98899999999999,648577.7507697287
279,3491,long,2021-10-14,2021-11-17,76.51,159.5531,4323855.352241537
280,3037,long,2021-11-03,2021-11-17,169.65,179.16,206526.34836427917
281,5371,long,2021-11-16,2021-11-23,70.9,71.67054999999999,25772.49647390611
282,5274,long,2021-11-17,2021-11-23,2791.24,2693.5465999999997,-157700.00000000017
283,6643,long,2021-11-23,2021-11-24,314.37,303.36705,-157700.0
284,8069,long,2021-11-23,2021-11-26,112.68,110.5118,-94668.40610578675
285,2383,long,2021-11-26,2021-12-02,243.11,241.05700000000002,-51478.94780140672
286,6182,long,2021-12-02,2021-12-06,77.39,75.63669999999999,-108321.52732911281
287,2408,long,2021-11-24,2021-12-08,68.37,69.8274,67565.46731022335
288,2615,long,2021-12-08,2021-12-13,136.52,140.76455,106664.1957222386
289,6446,long,2021-11-17,2021-12-14,128.58,343.60755,6671600.046663555
290,3680,long,2021-12-06,2021-12-14,294.82,293.38894999999997,-37115.914795468794
291,2615,long,2021-12-13,2021-12-14,139.63,134.74294999999998,-157700.0000000005
292,6446,long,2021-12-14,2021-12-16,320.55,334.0637,150931.41475588796
293,8299,long,2021-12-14,2021-12-17,395.7,384.51,-130815.99696739954
294,3491,long,2021-12-14,2021-12-20,178.66,192.7877,298603.59341766493
295,8069,long,2021-12-17,2021-12-20,132.07,127.44754999999999,-157700.0
296,3491,long,2021-12-20,2021-12-24,191.06,195.4511,74231.33047210288
297,6180,long,2021-12-20,2021-12-24,52.52,50.6818,-157700.00000000003
298,3037,long,2021-12-24,2021-12-29,216.25,210.82,-118139.30635838164
299,2360,long,2021-12-24,2021-12-30,181.27,177.06785,-110426.87151762602
300,6188,long,2021-12-16,2022-01-03,37.58,39.03425,137089.78179882938
301,4162,long,2021-12-30,2022-01-04,62.24,60.0616,-157700.0000000002
302,2454,long,2021-12-29,2022-01-06,874.27,847.22175,-141452.3877063147
303,5457,long,2022-01-04,2022-01-06,73.93,71.34245,-157700.00000000038
304,5536,long,2022-01-03,2022-01-07,84.22,88.88615,203917.1930657802
305,2327,long,2022-01-06,2022-01-11,120.37,116.15705,-157700.0000000002
306,6187,long,2022-01-06,2022-01-13,120.32,118.24145,-86800.73138297848
307,5536,long,2022-01-07,2022-01-14,88.64,85.5376,-157700.00000000012
308,3324,long,2022-01-11,2022-01-21,199.84,199.06984999999997,-33115.33226581324
309,2883,long,2022-01-13,2022-01-21,15.69,15.497899999999998,-66673.86870618272
310,2891,long,2022-01-14,2022-01-24,22.97,22.64,-75166.26033957305
311,3017,long,2022-01-21,2022-01-24,92.41,89.17564999999999,-157700.00000000026
312,3231,long,2022-01-21,2022-02-10,26.35,26.0357,-65411.574952562114
313,3665,long,2022-01-24,2022-02-10,246.8,263.04934999999995,245660.61588330526
314,3661,long,2022-02-10,2022-02-14,1060.49,1079.1980999999998,52863.984573168374
315,6548,long,2022-02-10,2022-02-17,35.99,35.37689999999999,-85841.15031953431
316,3017,long,2022-01-24,2022-02-21,88.5,102.483,614300.0000000002
317,3661,long,2022-02-14,2022-02-22,1046.03,1083.8494,126920.70877508327
318,2615,long,2022-02-17,2022-02-22,126.81,130.40044999999998,95554.47519911602
