date,pnl,total_profit,n,equity_bt,year
2023-11-01,68538.01991995568,6779731.267432891,102,66779731.26743289,2023
2023-11-02,132626.20617126548,6912357.473604157,102,66912357.47360416,2023
2023-11-03,14317.478919586705,6926674.952523744,105,66926674.952523746,2023
2023-11-06,79180.42250169904,7005855.375025443,105,67005855.375025444,2023
2023-11-07,8020.325732958263,7013875.700758401,107,67013875.7007584,2023
2023-11-08,29040.07489494538,7042915.775653346,110,67042915.77565335,2023
2023-11-09,-104.56880804428519,7042811.206845302,110,67042811.2068453,2023
2023-11-10,-42293.15389344442,7000518.052951857,110,67000518.05295186,2023
2023-11-13,42594.71769585015,7043112.770647707,109,67043112.770647705,2023
2023-11-14,59637.76633937219,7102750.536987079,109,67102750.53698708,2023
2023-11-15,11193.151685475716,7113943.688672555,109,67113943.68867256,2023
2023-11-16,15553.139331884615,7129496.828004439,108,67129496.82800443,2023
2023-11-17,649.2096028100744,7130146.03760725,106,67130146.03760725,2023
2023-11-20,30853.32312548593,7160999.360732736,105,67160999.36073273,2023
2023-11-21,61920.1538101784,7222919.514542915,105,67222919.51454291,2023
2023-11-22,-11452.37476282825,7211467.139780086,105,67211467.13978009,2023
2023-11-23,-23501.012061582554,7187966.127718504,105,67187966.12771851,2023
2023-11-24,600.7182484319178,7188566.845966935,105,67188566.84596694,2023
2023-11-27,-99878.83140643447,7088688.014560501,105,67088688.0145605,2023
2023-11-28,108191.17255809455,7196879.1871185955,105,67196879.18711859,2023
2023-11-29,70175.95687066017,7267055.143989256,105,67267055.14398925,2023
2023-11-30,35550.867117485,7302606.011106741,106,67302606.01110674,2023
2023-12-01,-31220.47029697206,7271385.540809768,106,67271385.54080977,2023
2023-12-04,4060.1945364653648,7275445.7353462335,106,67275445.73534623,2023
2023-12-05,-35901.589002765715,7239544.146343468,106,67239544.14634347,2023
2023-12-06,32176.016499700745,7271720.162843169,106,67271720.16284317,2023
2023-12-07,-36795.00175417769,7234925.161088991,107,67234925.16108899,2023
2023-12-08,47365.80261932386,7282290.963708315,107,67282290.96370831,2023
2023-12-11,62042.11872504106,7344333.082433356,107,67344333.08243336,2023
2023-12-12,11518.825178559307,7355851.907611915,110,67355851.90761192,2023
2023-12-13,4132.491735154198,7359984.399347069,110,67359984.39934707,2023
2023-12-14,56812.19376195051,7416796.593109019,112,67416796.59310901,2023
2023-12-15,-55382.52279951559,7361414.070309504,110,67361414.0703095,2023
2023-12-18,-45299.74922697697,7316114.321082527,111,67316114.32108253,2023
2023-12-19,-73160.88785661856,7242953.433225908,111,67242953.43322591,2023
2023-12-20,19324.09350649485,7262277.526732403,111,67262277.5267324,2023
2023-12-21,-18749.35156587423,7243528.175166529,111,67243528.17516653,2023
2023-12-22,49086.0951219031,7292614.270288432,110,67292614.27028844,2023
2023-12-25,5528.432661512892,7298142.702949945,110,67298142.70294994,2023
2023-12-26,62549.4677660354,7360692.17071598,110,67360692.17071599,2023
2023-12-27,55959.01040011482,7416651.181116095,110,67416651.18111609,2023
2023-12-28,7013.89239492988,7423665.073511025,110,67423665.07351102,2023
2023-12-29,-14279.591847603984,7409385.481663421,112,67409385.48166342,2023
2024-01-02,-60683.37040870979,7348702.111254711,112,67348702.1112547,2024
2024-01-03,-98683.75855375035,7250018.35270096,112,67250018.35270096,2024
2024-01-04,-8651.934073223912,7241366.418627736,112,67241366.41862774,2024
2024-01-05,7723.755528549034,7249090.174156285,112,67249090.17415628,2024
